,Price
0,17305.867
1,21425.223446014086
2,8774.289629395666
3,8555.782586691139
4,3278.471132842272
5,30807.82217777778
6,540.8159763922622
7,13619.715421052631
8,15590.324316843227
9,12528.421682802362
10,9682.853276856178
11,20075.706211500674
12,382.1745326848141
13,25712.91092930008
14,16236.76872081696
15,1649.4936845238094
16,8304.941107142857
17,28505.68977689095
18,4375.287000493233
19,17839.32602379642
20,6937.834392885699
21,34630.57166666666
22,21991.807057777012
23,2957.410433394504
24,348.958651659919
25,348.958651659919
26,33488.76548571428
27,6590.176122943723
28,1781.7642217977134
29,7386.196506436553
30,13854.947
31,713.5072704752217
32,10479.288285132177
33,13074.242755845036
34,10883.671833333334
35,706.0
36,38402.7106573508
37,8462.668662235666
38,9761.553277777775
39,17756.63034575597
40,26476.888920244637
41,33093.67292652477
42,4457.205658027247
43,3824.588764343161
44,15197.1365
45,13030.184865897438
46,14347.762676957744
47,16761.090243818682
48,41932.564818528255
49,25718.326254545453
50,22045.908023967586
51,22642.510604328272
52,582.9716691919193
53,1661.5725622467614
54,17147.35373841291
55,15524.321999484204
56,28973.545914499246
57,14030.019206002331
58,13909.639313505939
59,49130.6996351942
60,610.9670518540469
61,16932.537890427946
62,15720.789909215968
63,16127.216146810284
64,37861.58359761904
65,8151.789771087868
66,41781.87865454547
67,44414.90157997835
68,2586.4067430749874
69,33412.255496283724
70,40684.474
71,11045.409697941916
72,32233.642741523505
73,13237.970758473393
74,22224.607575985046
75,8084.093666685314
76,1215.6472856261553
77,21043.40351058201
78,6125.807107573166
79,27880.9988
80,393.13440735662067
81,29613.573977777774
82,649.1291451442207
83,24648.31194943064
84,413.23163075619294
85,7986.7435
86,35744.49641428573
87,31843.426
88,24312.58366666667
89,30611.3941
90,2714.6480017992762
91,15039.255898356829
92,10552.526983333335
93,11366.585
94,2755.71717668758
95,38916.711576443
96,15874.238689324387
97,9767.934491268654
98,21585.359217312183
99,6053.730983926218
100,18808.082622710623
101,35026.546
102,22158.58166906807
103,7333.247838318592
104,15979.648653192884
105,18302.571108750773
106,21520.20001459194
107,15627.233698873697
108,17901.542390736406
109,3078.432511319073
110,2479.9590254118784
111,44371.98488196248
112,19219.686414903383
113,21758.92321333333
114,24592.065120286756
115,18815.859165233072
116,1633.813757431457
117,19100.404741514867
118,16987.63972151182
119,43468.0290335513
120,35926.650117166166
121,3742.0932187001204
122,37254.744
123,23798.704
124,1363.0370111938882
125,5613.511946934356
126,15807.47117182085
127,27225.58956706816
128,18510.41459567541
129,3149.62249332612
130,14416.70275083546
131,13641.672995238096
132,8290.791688162531
133,11802.863869318182
134,19713.10549494061
135,9602.432721132285
136,15005.771270238098
137,5806.484974200541
138,34235.28902428572
139,19880.717015600352
140,16517.181508254405
141,19018.50215202646
142,3127.326589012583
143,10224.1315
144,6073.054526269485
145,54563.229386326864
146,18107.52440833333
147,15321.932825579977
148,8336.6882625
149,28272.84846666667
150,20883.444124811245
151,44371.98488196248
152,3457.9814758516277
153,7316.719
154,27464.355
155,19180.432376024957
156,52935.51258299093
157,6752.508451454932
158,14028.691392681943
159,7059.430221848707
160,11479.382515643365
161,1171.1181634581103
162,941.0
163,13234.930792857142
164,31900.437295039683
165,22397.11996635379
166,16022.914113333336
167,17517.93844646933
168,4251.8092891923325
169,29002.634
170,11714.79358
171,34507.605
172,1610.9785089697673
173,6671.297566666666
174,9392.187431746032
175,10355.218098103593
176,15314.029921334028
177,30794.574129952904
178,3749.303467537245
179,2418.3317444050463
180,7210.061088812125
181,9975.45066111111
182,18568.33738627451
183,17293.219971428574
184,8804.141
185,22289.913457575756
186,15071.384680555557
187,1861.7068217705712
188,1945.7176056447968
189,9738.1625
190,18406.039533333336
191,31841.25299848485
192,9168.112358105904
193,39281.70787224126
194,9969.437150667776
195,2686.3784
196,1320.4006055555558
197,9086.74965
198,21986.11325
199,549.5305487179486
200,5033.655442768995
201,17166.191635312305
202,26672.87166529924
203,2062.0056416731486
204,392.42054545454545
205,43182.038112218324
206,24458.20924444445
207,16284.429000000002
208,18355.681294715792
209,7404.855917597639
210,8757.295328672019
211,413.23163075619294
212,15561.486691484539
213,3585.2197713830624
214,15224.497317131772
215,12098.458553611876
216,501.2626038422834
217,7484.021784798535
218,5588.256695813277
219,15861.6223696924
220,3370.84306008464
221,4349.982581257351
222,14196.04049107143
223,15348.939902462867
224,32816.746
225,4866.380119101002
226,3613.285736235561
